udprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,departmentname,subbuildingname,buildingname,buildingnumber,dependentthoroughfare,thoroughfare,doubledependentlocality,dependentlocality,posttown,postcode,postcodetype,deliverypointsuffix,welshdependentthoroughfare,welshthoroughfare,welshdoubledependentlocality,welshdependentlocality,welshposttown,poboxnumber,updatedate,entrydate,easting,northing,latitude,longitude,positionalaccuracy,geometryallocationmethod,unmatchedreason,unmatchedreasondate,uprn,matchedaddressfeaturetype,matchtype,matchdate,matchmethod,matchingorganisation
3160050,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,40,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2T,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142883.97,525333.47,54.5577131,-5.9782429,Central Internal Position,Matched UPRN,NULL,NULL,185085422,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160051,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,41,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2U,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142872.66,525365.56,54.5579950,-5.9784454,Central Internal Position,Matched UPRN,NULL,NULL,185085423,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160052,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,42,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2W,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142877.16,525336.06,54.5577328,-5.9783502,Central Internal Position,Matched UPRN,NULL,NULL,185085424,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160053,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,43,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2X,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142866.85,525368.07,54.5580145,-5.9785372,Central Internal Position,Matched UPRN,NULL,NULL,185085425,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160054,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,44,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2Y,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142871.35,525338.57,54.5577523,-5.9784419,Central Internal Position,Matched UPRN,NULL,NULL,185085426,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160055,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,45,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,2Z,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142857.14,525371.91,54.5580440,-5.9786903,Central Internal Position,Matched UPRN,NULL,NULL,185085427,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160056,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,46,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142862.89,525345.32,54.5578085,-5.9785783,Central Internal Position,Matched UPRN,NULL,NULL,185085428,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160057,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,47,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3B,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142851.33,525374.41,54.5580635,-5.9787821,Central Internal Position,Matched UPRN,NULL,NULL,185085429,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160058,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,48,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3D,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142856.92,525345.83,54.5578101,-5.9786710,Central Internal Position,Matched UPRN,NULL,NULL,185878165,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160061,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,50,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3G,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142848.12,525348.59,54.5578304,-5.9788091,Central Internal Position,Matched UPRN,NULL,NULL,185085433,Built Address,Direct,2016-03-16,Automated,GeoPlace
